epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6285.78,1.18937,1.12096,1.34187,0.58805,0.44468,0.5102,0.34813,1.18426,1.08046,1.3198,0.004555,0.004555,0.004555
57,6396.86,1.18455,1.10909,1.33751,0.56508,0.45669,0.51821,0.35464,1.18098,1.0672,1.31391,0.004456,0.004456,0.004456
58,6507.62,1.17044,1.10416,1.33446,0.56767,0.46094,0.51335,0.35232,1.18284,1.06093,1.31382,0.004357,0.004357,0.004357
59,6618.85,1.18937,1.10904,1.3394,0.57366,0.47114,0.52457,0.36054,1.17162,1.04964,1.30748,0.004258,0.004258,0.004258
60,6729.81,1.17228,1.09671,1.3322,0.56726,0.47597,0.52183,0.35738,1.1703,1.05085,1.31046,0.004159,0.004159,0.004159
61,6840.66,1.16188,1.08906,1.33349,0.589,0.47222,0.52343,0.35887,1.17157,1.04024,1.30842,0.00406,0.00406,0.00406
62,6951.68,1.17281,1.09014,1.32775,0.59077,0.46044,0.52356,0.36153,1.16614,1.04577,1.30627,0.003961,0.003961,0.003961
63,7062.6,1.1684,1.08793,1.33111,0.56199,0.47614,0.52023,0.35794,1.16288,1.0391,1.3001,0.003862,0.003862,0.003862
64,7173.67,1.17454,1.06833,1.32812,0.57568,0.47087,0.5213,0.35775,1.16471,1.03941,1.3057,0.003763,0.003763,0.003763
65,7284.63,1.15329,1.06902,1.32124,0.57921,0.47623,0.51928,0.3557,1.16688,1.03664,1.30618,0.003664,0.003664,0.003664
66,7395.56,1.16284,1.06772,1.32645,0.59918,0.46417,0.53304,0.36735,1.16381,1.03491,1.30704,0.003565,0.003565,0.003565
67,7506.49,1.14212,1.04983,1.31415,0.6008,0.45081,0.52277,0.36083,1.16545,1.03725,1.31214,0.003466,0.003466,0.003466
68,7617.41,1.17034,1.05466,1.3219,0.59114,0.46094,0.52478,0.36431,1.14968,1.03439,1.30243,0.003367,0.003367,0.003367
69,7728.44,1.1629,1.04868,1.31811,0.58021,0.4682,0.52287,0.36106,1.1638,1.03791,1.30543,0.003268,0.003268,0.003268
70,7839.22,1.15541,1.0412,1.31798,0.59915,0.45395,0.52877,0.36563,1.16167,1.02911,1.30433,0.003169,0.003169,0.003169
71,7950.14,1.15325,1.03573,1.31695,0.55886,0.48738,0.52913,0.36614,1.16479,1.02238,1.30748,0.00307,0.00307,0.00307
72,8061.03,1.13653,1.03288,1.31007,0.57984,0.48403,0.53212,0.36732,1.16673,1.03121,1.30931,0.002971,0.002971,0.002971
73,8171.62,1.14445,1.01609,1.30772,0.57697,0.48401,0.52979,0.36729,1.15862,1.02385,1.30288,0.002872,0.002872,0.002872
74,8282.56,1.14237,1.01607,1.30835,0.59969,0.4572,0.52434,0.36363,1.16036,1.02392,1.30392,0.002773,0.002773,0.002773
75,8393.59,1.15665,1.01606,1.31358,0.57712,0.48766,0.53465,0.37329,1.15377,1.01792,1.30175,0.002674,0.002674,0.002674
76,8504.62,1.14027,1.00167,1.3048,0.59472,0.467,0.53385,0.37177,1.15395,1.01955,1.30024,0.002575,0.002575,0.002575
77,8615.72,1.13957,1.00636,1.30498,0.59495,0.4726,0.53649,0.37217,1.15237,1.0196,1.29825,0.002476,0.002476,0.002476
78,8726.54,1.14054,1.00072,1.30066,0.5924,0.47501,0.53555,0.37084,1.1568,1.01034,1.30042,0.002377,0.002377,0.002377
79,8836.97,1.11462,0.98911,1.29536,0.58153,0.47352,0.53156,0.36936,1.15973,1.0159,1.30062,0.002278,0.002278,0.002278
80,8947.77,1.12469,0.97728,1.28886,0.59951,0.46457,0.53271,0.37114,1.15584,1.01242,1.29847,0.002179,0.002179,0.002179
