epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,24255.7,1.05728,0.84932,1.26163,0.60233,0.50068,0.55735,0.39216,1.11935,0.92706,1.30098,0.003763,0.003763,0.003763
65,24633.9,1.03894,0.84438,1.2589,0.6209,0.495,0.55765,0.38883,1.12025,0.93728,1.31097,0.003664,0.003664,0.003664
66,25012.1,1.04251,0.84323,1.26335,0.63035,0.48812,0.56389,0.3928,1.12482,0.92773,1.30718,0.003565,0.003565,0.003565
67,25390.1,1.02815,0.83088,1.25168,0.61919,0.52829,0.56915,0.3975,1.12995,0.92379,1.30493,0.003466,0.003466,0.003466
68,25768.5,1.05133,0.83305,1.25588,0.63118,0.51056,0.5691,0.40047,1.11405,0.9214,1.29606,0.003367,0.003367,0.003367
69,26146.8,1.04502,0.82386,1.25367,0.58425,0.52537,0.56574,0.39808,1.12373,0.92764,1.30203,0.003268,0.003268,0.003268
70,26525,1.032,0.8109,1.24978,0.60444,0.51923,0.57087,0.3998,1.12944,0.9237,1.30606,0.003169,0.003169,0.003169
71,26903.5,1.03077,0.81392,1.25535,0.61877,0.52135,0.57283,0.40282,1.12292,0.917,1.30641,0.00307,0.00307,0.00307
72,27281.7,1.01276,0.80368,1.2409,0.6267,0.52065,0.57525,0.40335,1.12271,0.91665,1.30858,0.002971,0.002971,0.002971
73,27659.9,1.01822,0.78816,1.23738,0.61674,0.51655,0.57048,0.4031,1.1265,0.91712,1.30416,0.002872,0.002872,0.002872
74,28038.3,1.01575,0.78733,1.23783,0.63275,0.51268,0.57117,0.40403,1.12485,0.91127,1.30537,0.002773,0.002773,0.002773
75,28416.9,1.02501,0.78578,1.23843,0.63417,0.5118,0.57286,0.40695,1.11261,0.90084,1.29972,0.002674,0.002674,0.002674
