epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,11208.9,1.0738,0.89288,1.25693,0.6137,0.50796,0.56053,0.38933,1.13247,0.9714,1.2768,0.003664,0.003664,0.003664
66,11380.8,1.079,0.888,1.26044,0.65171,0.49761,0.56231,0.38842,1.13244,0.95558,1.27123,0.003565,0.003565,0.003565
67,11552.6,1.06597,0.8771,1.25061,0.6272,0.50881,0.56306,0.39196,1.13874,0.95674,1.27368,0.003466,0.003466,0.003466
68,11724.6,1.09092,0.87884,1.25718,0.62054,0.51013,0.56011,0.39031,1.13153,0.95301,1.26531,0.003367,0.003367,0.003367
69,11896.6,1.08059,0.87202,1.25221,0.62758,0.50012,0.56439,0.3929,1.13949,0.9513,1.27023,0.003268,0.003268,0.003268
70,12068.7,1.07061,0.86536,1.24951,0.64112,0.49788,0.56263,0.39306,1.13821,0.95326,1.26879,0.003169,0.003169,0.003169
71,12240.8,1.06651,0.85422,1.24746,0.60785,0.52721,0.56276,0.39351,1.1331,0.94835,1.26757,0.00307,0.00307,0.00307
72,12412.7,1.05186,0.85365,1.23881,0.60912,0.5154,0.55863,0.39407,1.12986,0.94816,1.26611,0.002971,0.002971,0.002971
73,12585,1.061,0.83565,1.23711,0.62479,0.49269,0.56233,0.39519,1.12547,0.94208,1.26202,0.002872,0.002872,0.002872
74,12757.3,1.05911,0.84179,1.23831,0.63765,0.49108,0.56513,0.39644,1.12663,0.93911,1.26616,0.002773,0.002773,0.002773
75,12929.8,1.06841,0.83863,1.24127,0.64102,0.49324,0.56128,0.39674,1.11769,0.93586,1.25964,0.002674,0.002674,0.002674
76,13101.9,1.05392,0.82628,1.2379,0.65111,0.49565,0.5583,0.39447,1.11656,0.93707,1.25882,0.002575,0.002575,0.002575
77,13273.8,1.05033,0.82529,1.23304,0.63779,0.48969,0.55908,0.3941,1.12319,0.9423,1.26139,0.002476,0.002476,0.002476
78,13445.8,1.04929,0.81972,1.22565,0.63197,0.50206,0.56112,0.39303,1.13037,0.94336,1.26445,0.002377,0.002377,0.002377
